Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA-L5-A8NS,0,0.5686,3.98,1.1372,99.5006,0.5686,0,15.9201
TCGA-L5-A8NT,0,0,0.5988,0.2994,2.3952,1.497,5.988,6.2874
TCGA-L5-A8NU,0,0,108.8296,0,12.3203,1.0267,0,1.54
TCGA-L5-A8NV,0,0,13.6612,1.3661,1.8215,4.5537,0,1.3661
TCGA-L5-A8NW,0,0,5.2873,4.6653,2.4881,0.311,0,0.622
TCGA-L7-A56G,0,0,7.5188,1.4322,0,0,0,0.7161
TCGA-L7-A6VZ,0,0.2576,46.1103,0.5152,0,2.8336,0,0.2576
TCGA-LN-A49K,0,0,1.0436,16.9591,3.1309,0.7827,0.7827,0.5218
TCGA-LN-A49L,0,0,2.0331,0.4518,1.3554,0,0.2259,13.3281
TCGA-LN-A49M,0,0,2.2325,5.1029,0,2.5514,0.3189,0.3189
TCGA-LN-A49N,0,0,0.6218,4.7673,0,17.4111,1.8655,0
TCGA-LN-A49O,0,0,0.2845,0,0,9.9559,0,0
TCGA-LN-A49P,0,0.3102,1.8611,0.9305,0,12.7173,0.3102,0.3102
TCGA-LN-A49R,0,0,1.9199,4.1141,0.2743,6.034,1.6456,0
TCGA-LN-A49S,0,0,0.9149,4.8795,0.305,10.064,0,2.1348
TCGA-LN-A49U,0,0,1.8198,0.6066,3.3364,5.7628,0.9099,0
TCGA-LN-A49V,0,0,3.0523,0.6105,0,0,0,2194.5711
TCGA-LN-A49W,0,0.3605,2.5234,18.7455,1.442,10.8147,0.721,19.4665
TCGA-LN-A49X,0,0,2.3423,0,0.5856,0,0,0
TCGA-LN-A49Y,0,0,14.4204,3.8824,2.2185,1.1093,0,1.1093
TCGA-LN-A4A1,0,0,0.7429,1.4859,0,4.4577,0,0
TCGA-LN-A4A2,0,0,10.3302,0,0.4919,6.6408,0.246,0
TCGA-LN-A4A3,0,0,0,28.6425,0.7956,36.2009,0.7956,1.1934
TCGA-LN-A4A4,0,0,1.5395,1.8474,0,0,0,0.3079
TCGA-LN-A4A5,0,0,3.28,0,0.328,1.312,2.952,1.312
TCGA-LN-A4A6,0,0.2128,2.3412,0.2128,6.5979,1.4898,0.2128,0
TCGA-LN-A4A8,0,0,53.9381,1.471,7.3552,13.7297,0.2452,0.9807
TCGA-LN-A4A9,0,0,1.5756,0.5252,0,0,0.5252,1.0504
TCGA-LN-A4MQ,0,0,0.3691,3.3223,4.7988,1.1074,1.1074,0.3691
TCGA-LN-A4MR,0,0,5.2733,63.9831,7.0311,39.0227,3.164,0.3516
TCGA-LN-A5U5,0,0,4.5614,1.6291,100.6761,1.6291,0,57.343
TCGA-LN-A5U6,0,0,0.5276,1.8465,0.7913,3.9567,0.5276,0
