Cancer,labels,Hybridization.REF,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
PACA-CA,0,RAMP_0008_Lv_M_526,0.238432,0.264531,0.928327,0.575153,0.49917,0.011636,0.155084
PACA-CA,0,RAMP_0008_Pa_P_526,3.12077,0,0,0.647795,0,0,0.392472
PACA-CA,0,PCSI_0474_Pa_P_526,30.5817,0.546889,0,17.0769,0.192573,0,0
PACA-CA,0,PCSI_0642_Pa_P_526,26.1047,0.0288874,0.0972336,1.50056,0.545265,0,0.0120269
PACA-CA,0,PCSI_0642_Pa_X_526,0,0.315062,0,0.0997814,0.53338,0,0.0993527
PACA-CA,0,PCSI_0643_Pa_P_526,0.150505,0.179112,0,0.02148,0.291277,0,0
PACA-CA,0,PCSI_0645_Pa_P_526,43.1002,0,0,5.92391,0.0701714,0,0
PACA-CA,0,PCSI_0649_Pa_P_526,1.13303,0,0.117984,27.8407,0.0613578,0.00327055,0.293736
PACA-CA,0,PCSI_0653_Pa_P_526,2.95298,0.147008,0.614229,0.193523,0.345326,0,0
PACA-CA,0,PCSI_0549_Pa_P_526,0.0127671,0.152979,0,0,0,0,23.0683
PACA-CA,0,PCSI_0589_Pa_P_526,12.1551,0.399794,0.103312,1.3053,0,0,0
PACA-CA,0,PCSI_0589_Pa_X_526,0,0.267701,0,0,0,0,0
PACA-CA,0,PCSI_0610_Pa_P_526,33.5453,0.0191333,0,4.61149,0,0,0.126131
PACA-CA,0,PCSI_0616_Pa_P_526,9.39744,0,0,3.41905,0.00465629,0,0
PACA-CA,0,PCSI_0627_Pa_P_526,0.117198,0.0389649,0,0.0277689,0,0,23.0047
PACA-CA,0,PCSI_0628_Pa_P_526,0.117735,0,0.0405382,0.0457215,0.033005,0,0.267852
PACA-CA,0,PCSI_0638_Pa_P_526,1.19234,0,0.165256,0.0359819,0,0,0.265663
PACA-CA,0,PCSI_0629_Pa_P_526,15.2177,0.186417,0,9.47072,0,0,0
PACA-CA,0,PCSI_0639_Pa_P_526,10.1223,0,0.112261,1.28075,0.0244364,0,0.0348549
PACA-CA,0,MPCC_0041_Pa_C,0,0.0862179,0,0,0,0,0.00859846
PACA-CA,0,MPCC_0022_Pa_C,0.088604,0.0465739,0.0218605,0.0118387,0.0145277,0.0062678,0.0423047
