Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA.DD.A3A1.01A.11R.A213.07,1,22415.0255,472835.1641,8398.2495,342549.2268,16029.1758,308.5339,41443.4719
TCGA.DD.A3A2.01A.11R.A213.07,1,1122.7934,793406.0136,13236.8574,229994.1804,20.1746,3912.3181,16859.7478
TCGA.DD.A3A3.01A.11R.A22L.07,1,42666.6667,308476.7932,7583.3333,1085002.11,24704.6414,1938.8186,66501.0549
TCGA.DD.A3A4.01A.11R.A22L.07,1,98713.3583,7345.2685,50647.2556,416375.3689,31.4775,3971.6703,22733.8186
TCGA.DD.A3A5.01A.11R.A22L.07,1,8747.6421,361629.7283,47095.5908,170759.0938,10113.066,445.716,18368.8579
TCGA.DD.A3A6.01A.11R.A22L.07,1,41.3732,332.7465,23.7676,595.0704,29.9296,2.6408,43983.2746
TCGA.DD.A3A7.01A.11R.A22L.07,1,40831.7047,256906.6232,16014.1151,290323.5613,947.8827,271.4441,39740.4995
TCGA.DD.A3A8.01A.11R.A22L.07,1,68644.7462,113687.634,2471.0508,309987.1337,60.0429,6556.8263,6388.8492
TCGA.DD.A3A9.01A.11R.A266.07,1,2602.8906,169867.1714,1646.9374,126960.7708,3.4412,146.5933,14009.6352
TCGA.DD.A4NA.01A.11R.A266.07,1,11025.0165,41.1142,15.4178,200596.3693,7.2806,1.2848,66837.0477
TCGA.DD.A4NB.01A.12R.A266.07,1,23202.6684,42959.3393,37330.3685,716904.7014,13774.46,3408.5133,48849.4282
TCGA.DD.A4ND.01A.11R.A266.07,1,30605.3119,106589.9197,7707.8443,387363.8048,1658.4311,3846.819,16630.6362
TCGA.DD.A4NE.01A.11R.A27V.07,1,16439.6051,33189.8955,6208.4785,246287.4564,93.4959,213.705,13796.1672
TCGA.DD.A4NF.01A.11R.A27V.07,1,65275.0583,9597.3193,200.4662,246946.9697,227.8555,1132.8671,2724.359
TCGA.DD.A4NG.01A.11R.A27V.07,1,50713.1783,28578.8114,3704.7804,198222.8682,6941.8605,467.0543,35509.0439
TCGA.DD.A4NH.01A.11R.A27V.07,1,40716.8532,4579.5214,1876.3055,40126.4338,46.3285,212.788,66292.3573
TCGA.DD.A4NI.01A.11R.A27V.07,1,36516.7464,101534.0909,24324.1627,464852.2727,4374.4019,12931.2201,11586.7225
TCGA.DD.A4NJ.01A.11R.A27V.07,1,2883.9765,77419.8923,10121.2897,306821.7746,6148.7807,421.2906,21414.4179
TCGA.DD.A4NK.01A.11R.A28V.07,1,4977.9688,205599.1402,12237.1485,347897.5461,1232.3124,2291.9577,17262.4037
TCGA.DD.A4NL.01A.11R.A28V.07,1,44833.6735,231527.5,20795.9184,1439705.102,89002.0408,9791.8367,80112.2449
TCGA.DD.A4NN.01A.11R.A28V.07,1,567.5808,290597.4535,1020.0784,114975.0245,53.379,950.049,3783.5455
TCGA.DD.A4NO.01A.11R.A28V.07,1,67311.4355,170216.545,45076.0341,443986.618,25380.7786,4189.1727,32212.8954
TCGA.DD.A4NP.01A.11R.A28V.07,1,116975.3512,144521.0708,3533.5277,1375794.328,47095.6798,6780.2809,41075.5367
TCGA.DD.A4NQ.01A.21R.A28V.07,1,65245.4696,28701.3964,11620.9387,352596.9028,6671.9722,1966.5401,104631.9456
TCGA.DD.A4NR.01A.11R.A311.07,1,24332.431,106465.1218,4734.1635,582387.1142,14261.5051,1701.137,96370.8717
TCGA.DD.A4NS.01A.11R.A311.07,1,8525.555,107169.8503,2883.841,176110.4801,4903.459,897.7801,3593.7016
TCGA.DD.A4NV.01A.11R.A311.07,1,17617.2064,332202.03,12505.0749,199630.2562,8558.724,4788.3035,17625.4229
TCGA.DD.A73A.01A.12R.A32O.07,1,13649.7408,401233.0017,17590.8813,599462.0644,7170.4715,4948.3208,15103.412
TCGA.DD.A73B.01A.12R.A32O.07,1,19614.6446,61359.7007,46868.5195,225532.8701,10477.8193,1951.8974,15120.791
TCGA.DD.A73C.01A.12R.A33J.07,1,8284.6847,273833.033,14135.1351,339266.0661,7.8078,3849.2492,41906.3063
TCGA.DD.A73D.01A.12R.A32O.07,1,13734.3924,81596.5118,7541.0486,264222.7067,11330.90423,703.7336,1476.9869
